spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
20002863	2863	(2863) Ben Mayer		Ben Mayer	American astronomer	human	organisms known by a particular common name	mammal					1925-01-01T00:00:00Z	2000-01-01T00:00:00Z	United States	astronomer	male	Ben Mayer	18.436	1954-12-22
								person												
								individual animal												
								omnivore												
								natural person												
20002864	2864	سیارک ۲۸۶۴																Soderblom	15.570	1954-11-24
20002865	2865	2865 Laurel	2865 Laurel	Stan Laurel	British-American actor (1890–1965)	human	organisms known by a particular common name	mammal					1890-06-16T00:00:00Z	1965-02-23T00:00:00Z	United Kingdom	stage actor	male	Laurel	24.991	1935-07-31
								person								screenwriter				
								individual animal								comedian				
								omnivore								film actor				
								natural person								stunt performer				
																film director				
																film producer				
																actor				
																director				
																producer				
20002866	2866	2866 Hardy	2866 Hardy	Oliver Hardy	American comic actor famous as one half of Laurel and Hardy (1892–1957)	human	organisms known by a particular common name	mammal					1892-01-18T00:00:00Z	1957-08-07T00:00:00Z	United States	actor	male	Hardy	11.423	1951-09-09
								person								comedian				
								individual animal								film actor				
								omnivore								stunt performer				
								natural person								screenwriter				
																film director				
																film screenwriter				
20002867	2867	2867 Šteins	2867 Šteins	Kārlis Šteins	Latvian astronomer (1911–1983)	human	organisms known by a particular common name	mammal					1911-10-13T00:00:00Z	1983-04-04T00:00:00Z	Russian Empire	astronomer	male	Steins	5.160	1951-11-28
								person							Latvia	university teacher				
								individual animal							Soviet Union					
								omnivore												
								natural person												
20002868	2868	2868 Upupo		Eurasian Hoopoe	species of bird	taxon	second-order class	group or class of living things				species						Upupa	12.080	1972-10-30
20002869	2869	2869 Neprjadvo		Nepryadva	river in Tula Oblast, Russia	river	ecosystem type	stream		Russia	53.66666667,38.65							Nepryadva	8.556	1953-04-15
							type of watercourse	open water			53.6708,38.6515									
20002870	2870	سیارک ۲۸۷۰		Hermann Haupt	German entomologist (1873–1959)	human	organisms known by a particular common name	mammal					1873-01-24T00:00:00Z	1959-06-02T00:00:00Z	Germany	entomologist	male	Haupt	14.930	1959-09-03
								person								paleoentomologist				
								individual animal												
								omnivore												
								natural person												
20002871	2871	سیارک ۲۸۷۱		Hans Josef Schober	Austrian astronomer	human	organisms known by a particular common name	mammal					1944-10-14T00:00:00Z		Austria	astronomer	male	Schober	6.804	1954-10-25
								person												
								individual animal												
								omnivore												
								natural person												
20002872	2872	2872 Genteleko																Gentelec	13.629	1977-12-07
20002873	2873	سیارک ۲۸۷۳		Richard P. Binzel	American astronomer	human	organisms known by a particular common name	mammal					1958-01-01T00:00:00Z		United States	astronomer	male	Binzel	6.426	1935-05-24
								person								university teacher				
								individual animal												
								omnivore												
								natural person												
20002874	2874	2874 Джим Янг		James Whitney Young	American astronomer	human	organisms known by a particular common name	mammal					1941-01-24T00:00:00Z		United States	astronomer	male	Jim Young	6.552	1954-04-02
								person												
								individual animal												
								omnivore												
								natural person												
20002875	2875	(2875) Lagerkvist		Claes-Ingvar Lagerkvist	Swedish astronomer	human	organisms known by a particular common name	mammal					1944-11-17T00:00:00Z		Sweden	astronomer	male	Lagerkvist	9.511	1955-03-14
								person								university teacher				
								individual animal												
								omnivore												
								natural person												
20002876	2876	2876 Esĥilo		Aeschylus	ancient Athenian playwright	human	organisms known by a particular common name	mammal					0525-01-01T00:00:00Z	0456-01-01T00:00:00Z	Classical Athens	tragedy writer	male	Aeschylus	6.827	1960-09-24
								person								warrior				
								individual animal								playwright				
								omnivore								writer				
								natural person												
20002878	2878	2878 Panaceo		Panacea	Greek goddess of universal health	Greek deity		deity									female	Panacea	15.542	1980-07-17
								mythological Greek character												
20002879	2879	2879 Сімідзу																Shimizu	21.762	1932-02-14
20002880	2880	2880 Nihondairo		Nihondaira	scenic area in Shizuoka, Japan	rolling country	definition	landscape		Japan	34.97555556,138.46694444							Nihondaira	7.051	1958-10-12
								geomorphological unit												
								landform												
20002881	2881	2881 Mejdeno		Medeina	deity in Lithuanian mythology	deity		mythical character									female	Meiden	5.672	1936-03-17
								supernatural being												
20002882	2882	سیارک ۲۸۸۲		Meanings of minor planet names: 2001–3000	Wikimedia list article	Wikimedia list article	Wikimedia project page	list										Tedesco	21.912	1936-08-25
								Wikimedia article page												
								Wikimedia internal item												
						Wikimedia disambiguation page		MediaWiki main namespace page												
								Wikimedia internal item												
								Wikimedia article covering multiple topics												
20002883	2883	2883 Barabashov	2883 Barabashov	Nikolai Barabashov	Russian astronomer (1894-1971)	human	organisms known by a particular common name	mammal					1894-03-18T00:00:00Z	1971-04-29T00:00:00Z	Soviet Union	astronomer	male	Barabashov	4.910	1950-06-06
								person								politician				
								individual animal												
								omnivore												
								natural person												
20002886	2886	(2886) Tinkaping		Tin Ka Ping	Chinese businessman and philanthropist	human	organisms known by a particular common name	mammal					1919-11-20T00:00:00Z	2018-07-10T00:00:00Z	People's Republic of China	businessperson	male	Tinkaping	5.784	1954-11-23
								person												
								individual animal												
								omnivore												
								natural person												
20002887	2887	2887 Krinov	2887 Krinov	Yevgeny Krinov	Russian astronomer (1906–1984)	human	organisms known by a particular common name	mammal					1906-02-18T00:00:00Z	1984-01-02T00:00:00Z	Russian Empire	astronomer	male	Krinov	6.163	1939-03-22
								person							Russian Republic	geologist				
								individual animal							Russian Socialist Federative Soviet Republic					
								omnivore							Soviet Union					
								natural person												
20002888	2888	سیارک ۲۸۸۸																Hodgson	5.429	1931-10-07
20002889	2889	(2889) Brno		Brno	statutory city in South Moravian Region, the Czech Republic	municipality with town privileges in the Czech Republic		municipality of the Czech Republic		Czech Republic	49.195277777778,16.608333333333							Brno	17.184	1953-05-07
